ProductID,ProductName,Category,Brand,CostPrice,SellingPrice
P00001,Up,Clothing,Brand44,51.68,68.74
P00002,Image,Clothing,Brand38,490.76,581.74
P00003,Want,Clothing,Brand10,464.93,545.94
P00004,Natural,Groceries,Brand30,19.29,27.43
P00005,Different,Electronics,Brand22,316.04,407.22
P00006,According,Groceries,Brand21,485.04,756.33
P00007,Weight,Furniture,Brand14,473.97,853.09
P00008,Quickly,Clothing,Brand21,432.32,718.12
P00009,Use,Groceries,Brand6,400.08,648.39
P00010,Share,Groceries,Brand6,202.43,247.9
P00011,Mother,Groceries,Brand50,15.15,18.87
P00012,Guy,Furniture,Brand8,204.19,317.11
P00013,Series,Clothing,Brand44,152.78,253.73
P00014,Adult,Electronics,Brand24,303.74,410.45
P00015,How,Groceries,Brand31,258.76,373.32
P00016,Letter,Electronics,Brand49,137.9,209.64
P00017,Claim,Furniture,Brand28,214.16,290.78
P00018,Raise,Clothing,Brand30,317.19,369.55
P00019,Always,Furniture,Brand32,339.84,527.88
P00020,Particularly,Electronics,Brand19,266.0,413.11
P00021,Anything,Groceries,Brand20,236.77,273.57
P00022,Avoid,Clothing,Brand16,78.56,93.44
P00023,Beautiful,Electronics,Brand36,263.93,344.91
P00024,Physical,Electronics,Brand33,42.88,48.52
P00025,Teach,Clothing,Brand23,215.33,251.1
P00026,Voice,Electronics,Brand8,131.16,151.78
P00027,Break,Furniture,Brand26,371.56,529.11
P00028,Debate,Clothing,Brand21,27.4,38.12
P00029,See,Groceries,Brand40,295.67,419.41
P00030,Debate,Furniture,Brand14,404.88,542.11
P00031,Low,Clothing,Brand44,96.62,156.81
P00032,Final,Electronics,Brand26,57.63,84.95
P00033,Cut,Groceries,Brand30,62.76,76.58
P00034,Pass,Groceries,Brand20,347.44,593.48
P00035,Other,Clothing,Brand45,311.16,554.41
P00036,Collection,Groceries,Brand20,338.53,535.96
P00037,Shoulder,Furniture,Brand8,48.38,57.79
P00038,Especially,Furniture,Brand2,408.9,649.02
P00039,Music,Furniture,Brand28,108.57,168.72
P00040,Discuss,Furniture,Brand6,421.83,717.42
P00041,Under,Groceries,Brand28,153.95,219.29
P00042,Ability,Furniture,Brand48,15.8,19.22
P00043,Create,Groceries,Brand2,352.79,626.1
P00044,Side,Furniture,Brand19,430.6,650.06
P00045,Rather,Electronics,Brand22,286.87,483.0
P00046,Bit,Groceries,Brand27,8.9,13.72
P00047,Account,Clothing,Brand3,425.07,686.89
P00048,New,Groceries,Brand15,246.31,354.75
P00049,Listen,Groceries,Brand37,358.57,527.03
P00050,Name,Groceries,Brand31,161.35,184.66
P00051,Less,Clothing,Brand29,62.89,96.59
P00052,Ability,Clothing,Brand47,350.27,390.4
P00053,Federal,Furniture,Brand33,100.14,134.26
P00054,Everybody,Clothing,Brand39,113.75,197.51
P00055,Sense,Groceries,Brand9,427.46,684.21
P00056,North,Groceries,Brand27,442.17,710.17
P00057,Project,Clothing,Brand31,417.37,655.76
P00058,House,Furniture,Brand19,400.88,677.96
P00059,Usually,Groceries,Brand9,346.9,402.52
P00060,House,Groceries,Brand7,90.78,109.79
P00061,Prepare,Groceries,Brand20,397.77,700.13
P00062,Score,Electronics,Brand23,121.19,180.55
P00063,Large,Furniture,Brand12,441.05,595.39
P00064,Reduce,Electronics,Brand5,414.83,716.05
P00065,Indicate,Furniture,Brand8,172.18,203.13
P00066,The,Clothing,Brand23,283.18,407.91
P00067,Cut,Clothing,Brand10,385.84,632.42
P00068,End,Electronics,Brand46,427.44,731.6
P00069,Seem,Groceries,Brand49,29.96,52.8
P00070,Degree,Electronics,Brand36,59.91,70.34
P00071,No,Electronics,Brand14,25.77,30.25
P00072,Million,Clothing,Brand46,455.94,551.65
P00073,Expert,Electronics,Brand10,223.55,325.07
P00074,Lay,Furniture,Brand8,325.31,434.04
P00075,Political,Groceries,Brand50,425.05,598.21
P00076,Star,Groceries,Brand22,385.67,490.46
P00077,Probably,Clothing,Brand24,146.95,179.26
P00078,Call,Furniture,Brand10,359.02,499.22
P00079,Rate,Furniture,Brand9,377.84,555.71
P00080,Would,Groceries,Brand30,401.88,558.37
P00081,Part,Clothing,Brand2,476.16,695.82
P00082,Day,Electronics,Brand6,224.08,367.29
P00083,Allow,Furniture,Brand28,172.46,238.19
P00084,Star,Furniture,Brand37,35.43,57.8
P00085,Tonight,Clothing,Brand27,33.62,51.85
P00086,Difficult,Clothing,Brand47,203.99,321.61
P00087,Best,Electronics,Brand18,372.64,647.08
P00088,Home,Furniture,Brand45,450.6,688.19
P00089,Nature,Groceries,Brand45,204.95,317.82
P00090,For,Groceries,Brand50,175.9,293.45
P00091,Sport,Electronics,Brand35,102.66,134.59
P00092,Standard,Furniture,Brand34,170.57,274.2
P00093,Cause,Electronics,Brand33,496.0,644.18
P00094,Grow,Furniture,Brand2,278.13,407.44
P00095,Its,Clothing,Brand16,18.81,31.18
P00096,Attorney,Groceries,Brand33,416.95,547.36
P00097,Trip,Clothing,Brand17,59.67,68.14
P00098,Turn,Electronics,Brand49,315.36,425.15
P00099,Ever,Clothing,Brand37,327.23,388.53
P00100,Church,Furniture,Brand48,369.75,524.01
P00101,Source,Furniture,Brand23,494.56,739.82
P00102,Picture,Furniture,Brand46,153.1,239.88
P00103,Do,Electronics,Brand21,191.94,310.22
P00104,On,Clothing,Brand30,260.64,321.84
P00105,Each,Groceries,Brand6,53.5,85.5
P00106,Brother,Furniture,Brand31,50.66,70.79
P00107,Treat,Groceries,Brand38,111.32,128.54
P00108,Baby,Clothing,Brand38,281.69,463.43
P00109,Forward,Groceries,Brand45,251.92,351.78
P00110,Pick,Groceries,Brand11,465.86,672.09
P00111,Smile,Groceries,Brand9,76.45,90.9
P00112,Control,Electronics,Brand45,484.18,706.53
P00113,Family,Furniture,Brand36,110.26,157.82
P00114,Material,Groceries,Brand8,187.82,331.74
P00115,Although,Electronics,Brand34,64.83,97.26
P00116,Someone,Clothing,Brand20,80.89,110.01
P00117,There,Furniture,Brand10,150.52,168.52
P00118,Benefit,Clothing,Brand19,392.98,548.3
P00119,Garden,Groceries,Brand1,111.71,186.93
P00120,Performance,Electronics,Brand27,65.55,88.1
P00121,New,Groceries,Brand22,243.18,320.22
P00122,Appear,Furniture,Brand49,391.77,561.27
P00123,School,Groceries,Brand43,73.57,113.7
P00124,The,Clothing,Brand6,227.29,387.86
P00125,Rather,Groceries,Brand25,400.91,627.48
P00126,Yeah,Electronics,Brand43,120.25,165.56
P00127,Live,Electronics,Brand11,445.57,719.66
P00128,Culture,Clothing,Brand36,355.07,532.75
P00129,Network,Electronics,Brand13,324.35,502.98
P00130,Grow,Electronics,Brand37,477.81,706.82
P00131,Value,Electronics,Brand8,263.27,427.92
P00132,Radio,Electronics,Brand18,330.84,487.1
P00133,Reflect,Groceries,Brand6,394.44,501.61
P00134,First,Groceries,Brand38,404.43,616.67
P00135,Sort,Electronics,Brand22,27.27,46.45
P00136,Line,Clothing,Brand25,221.32,307.74
P00137,World,Electronics,Brand35,132.3,156.15
P00138,Nearly,Clothing,Brand50,88.24,105.96
P00139,Source,Groceries,Brand44,49.37,64.91
P00140,Point,Clothing,Brand12,88.75,135.8
P00141,Foreign,Groceries,Brand7,18.45,21.05
P00142,Away,Clothing,Brand17,163.42,226.99
P00143,Ago,Electronics,Brand4,190.88,320.57
P00144,True,Furniture,Brand32,105.27,171.22
P00145,Play,Electronics,Brand18,256.77,373.11
P00146,Meet,Groceries,Brand5,35.01,49.9
P00147,Minute,Furniture,Brand2,244.66,338.91
P00148,Toward,Electronics,Brand16,138.23,245.28
P00149,Chair,Furniture,Brand20,382.67,595.47
P00150,Town,Furniture,Brand10,286.28,404.28
P00151,Phone,Furniture,Brand35,189.79,339.67
P00152,Social,Groceries,Brand3,476.54,844.88
P00153,Material,Clothing,Brand42,5.5,7.84
P00154,Beautiful,Groceries,Brand18,486.18,534.98
P00155,During,Groceries,Brand23,300.94,507.88
P00156,Activity,Clothing,Brand3,422.01,527.06
P00157,Show,Electronics,Brand20,84.9,125.13
P00158,Serve,Furniture,Brand47,49.41,78.51
P00159,Seem,Groceries,Brand14,280.46,363.37
P00160,Individual,Clothing,Brand44,307.17,543.75
P00161,Reality,Groceries,Brand18,472.98,730.57
P00162,To,Clothing,Brand14,126.73,226.61
P00163,Increase,Electronics,Brand45,232.6,353.47
P00164,Kitchen,Groceries,Brand1,71.19,124.27
P00165,Make,Groceries,Brand36,451.22,708.82
P00166,Rule,Groceries,Brand35,448.16,713.61
P00167,Our,Electronics,Brand35,45.17,77.41
P00168,Something,Groceries,Brand44,20.32,34.19
P00169,Only,Groceries,Brand39,66.09,117.67
P00170,Reach,Electronics,Brand8,182.19,223.01
P00171,By,Groceries,Brand1,234.03,410.81
P00172,Consumer,Clothing,Brand44,114.65,127.7
P00173,Win,Electronics,Brand40,461.09,622.69
P00174,Speak,Furniture,Brand15,314.49,523.91
P00175,They,Electronics,Brand18,490.16,871.07
P00176,Kind,Furniture,Brand1,248.95,396.54
P00177,Market,Groceries,Brand8,102.06,170.93
P00178,Guy,Groceries,Brand11,435.61,652.71
P00179,Today,Furniture,Brand5,278.13,434.41
P00180,Police,Furniture,Brand17,296.14,480.39
P00181,Piece,Clothing,Brand13,467.11,793.54
P00182,Off,Clothing,Brand44,424.6,473.93
P00183,Your,Groceries,Brand42,282.26,400.17
P00184,Number,Clothing,Brand28,338.18,525.88
P00185,Claim,Electronics,Brand44,422.95,585.71
P00186,Research,Electronics,Brand47,261.56,378.45
P00187,Trade,Groceries,Brand35,116.15,150.36
P00188,Close,Furniture,Brand22,227.19,250.73
P00189,Pretty,Electronics,Brand48,45.5,68.26
P00190,Marriage,Electronics,Brand16,116.69,184.68
P00191,Suggest,Electronics,Brand41,102.45,136.31
P00192,Product,Groceries,Brand2,314.52,352.11
P00193,Base,Clothing,Brand17,298.3,458.91
P00194,Lawyer,Clothing,Brand4,127.34,182.29
P00195,Within,Furniture,Brand5,411.71,602.65
P00196,Realize,Electronics,Brand41,389.0,596.61
P00197,Sister,Electronics,Brand3,226.0,268.35
P00198,Appear,Electronics,Brand9,191.81,330.5
P00199,Network,Electronics,Brand20,35.69,59.31
P00200,Main,Electronics,Brand44,307.32,430.95
P00201,Listen,Groceries,Brand26,32.62,37.07
P00202,Impact,Furniture,Brand39,52.44,85.29
P00203,Nothing,Groceries,Brand25,394.8,606.73
P00204,Least,Electronics,Brand22,234.78,328.62
P00205,Thousand,Electronics,Brand30,327.21,514.72
P00206,Worry,Electronics,Brand7,261.02,394.52
P00207,Group,Furniture,Brand37,11.08,17.72
P00208,Remember,Clothing,Brand27,67.36,98.09
P00209,Relate,Furniture,Brand16,243.29,373.35
P00210,Vote,Furniture,Brand20,73.15,82.72
P00211,Forget,Clothing,Brand20,294.34,429.5
P00212,Mother,Furniture,Brand10,293.91,434.63
P00213,Information,Clothing,Brand24,237.41,361.42
P00214,Itself,Furniture,Brand4,485.28,709.66
P00215,Choose,Electronics,Brand28,122.51,205.01
P00216,Politics,Furniture,Brand5,175.19,312.46
P00217,Point,Groceries,Brand39,174.07,272.86
P00218,Nature,Clothing,Brand40,347.74,589.91
P00219,Whatever,Electronics,Brand30,153.32,203.92
P00220,Strategy,Groceries,Brand15,438.67,762.14
P00221,Attorney,Furniture,Brand30,460.38,712.27
P00222,Myself,Clothing,Brand48,313.84,397.73
P00223,Between,Electronics,Brand24,191.08,263.73
P00224,Girl,Electronics,Brand10,9.9,13.37
P00225,Science,Clothing,Brand3,148.84,183.98
P00226,Official,Clothing,Brand12,487.78,604.55
P00227,Sea,Furniture,Brand22,113.38,145.51
P00228,Standard,Furniture,Brand2,424.53,540.08
P00229,To,Electronics,Brand2,92.16,118.26
P00230,Cost,Electronics,Brand22,416.57,498.25
P00231,Idea,Furniture,Brand24,468.38,615.24
P00232,The,Groceries,Brand46,405.7,633.96
P00233,Play,Furniture,Brand13,37.36,44.87
P00234,Character,Clothing,Brand21,99.88,136.31
P00235,Film,Furniture,Brand3,301.78,538.34
P00236,Discover,Clothing,Brand10,382.73,578.35
P00237,Plant,Clothing,Brand9,167.2,190.15
P00238,Which,Groceries,Brand14,426.49,758.24
P00239,Rule,Electronics,Brand11,365.01,602.0
P00240,Dream,Clothing,Brand32,256.76,417.47
P00241,Former,Clothing,Brand34,261.85,320.84
P00242,Perform,Groceries,Brand31,348.78,558.38
P00243,Finish,Electronics,Brand14,137.83,190.3
P00244,Bed,Furniture,Brand26,113.67,141.19
P00245,Apply,Groceries,Brand37,113.2,158.2
P00246,Performance,Clothing,Brand36,82.82,139.94
P00247,Send,Clothing,Brand29,46.96,76.36
P00248,Treat,Electronics,Brand30,261.82,330.19
P00249,Already,Groceries,Brand30,258.57,345.31
P00250,Need,Groceries,Brand21,219.09,297.36
P00251,Design,Groceries,Brand15,140.14,156.58
P00252,Religious,Electronics,Brand19,136.48,157.38
P00253,Production,Electronics,Brand18,422.09,615.81
P00254,May,Electronics,Brand24,463.67,541.98
P00255,Million,Furniture,Brand44,23.95,29.7
P00256,Live,Clothing,Brand13,167.97,220.36
P00257,Front,Clothing,Brand1,354.29,637.22
P00258,Future,Clothing,Brand26,386.19,501.0
P00259,Think,Electronics,Brand31,473.18,792.72
P00260,You,Furniture,Brand26,328.78,589.34
P00261,Life,Furniture,Brand31,117.65,188.99
P00262,Participant,Groceries,Brand47,120.69,182.35
P00263,President,Electronics,Brand21,408.13,546.27
P00264,Reach,Groceries,Brand14,423.67,593.2
P00265,Truth,Electronics,Brand24,222.15,377.0
P00266,Theory,Clothing,Brand48,73.78,126.28
P00267,Drive,Clothing,Brand22,9.79,16.32
P00268,Reflect,Groceries,Brand49,116.62,163.04
P00269,Others,Clothing,Brand38,390.43,576.4
