SaleID,SaleDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,StoreID
S00150001,2025-03-30,C001574,P00692,2,459.49,19.47,ST019
S00150002,2024-09-30,C006996,P00750,5,321.37,14.76,ST003
S00150003,2025-07-09,C009037,P00357,9,962.91,12.31,ST005
S00150004,2024-08-01,C004654,P00310,6,862.1,16.51,ST012
S00150005,2026-05-01,C008778,P00596,8,881.52,1.5,ST003
S00150006,2026-01-11,C003440,P00698,7,934.33,15.28,ST010
S00150007,2024-08-29,C003393,P00045,5,88.99,5.36,ST019
S00150008,2025-05-10,C002140,P00792,7,513.16,14.81,ST006
S00150009,2024-11-13,C004399,P00051,7,376.48,19.73,ST014
S00150010,2025-05-16,C000940,P00824,4,822.54,18.98,ST010
S00150011,2025-08-01,C002511,P00583,5,832.42,19.63,ST005
S00150012,2024-08-16,C000874,P00757,4,547.17,8.45,ST017
S00150013,2025-06-03,C000459,P00829,8,594.28,5.92,ST019
S00150014,2025-07-22,C006020,P00604,5,760.58,10.38,ST007
S00150015,2026-02-14,C000011,P00827,7,46.65,0.68,ST018
S00150016,2024-09-25,C008638,P00721,5,100.41,8.94,ST011
S00150017,2026-04-25,C001347,P00918,10,624.68,8.93,ST008
S00150018,2025-05-08,C000104,P00966,10,241.48,5.17,ST002
S00150019,2025-02-07,C002216,P00883,5,19.3,11.3,ST008
S00150020,2026-04-21,C001162,P00466,2,146.99,11.71,ST013
S00150021,2026-02-06,C002597,P00851,10,873.66,19.77,ST004
S00150022,2025-02-04,C001736,P00054,10,937.29,15.47,ST008
S00150023,2026-03-20,C000464,P00818,10,53.21,3.91,ST004
S00150024,2025-01-26,C004686,P00143,2,272.41,13.53,ST005
S00150025,2025-03-18,C001905,P00516,8,833.61,2.59,ST009
S00150026,2026-06-22,C001271,P00480,4,767.94,4.38,ST007
S00150027,2024-10-01,C007977,P00934,8,140.84,7.97,ST013
S00150028,2025-07-16,C002537,P00809,7,556.4,12.1,ST003
S00150029,2025-11-28,C008022,P00830,9,871.0,17.36,ST014
S00150030,2024-09-28,C001751,P00959,2,460.24,4.52,ST005
S00150031,2024-12-24,C002892,P00244,3,935.36,13.72,ST006
S00150032,2025-07-27,C005585,P00536,4,769.23,10.31,ST012
S00150033,2025-10-22,C002958,P00812,3,328.56,12.57,ST020
S00150034,2025-02-08,C002325,P00433,10,184.13,11.38,ST005
S00150035,2025-01-26,C008820,P00220,10,303.74,11.79,ST011
S00150036,2024-09-19,C005530,P00636,3,235.21,0.96,ST013
S00150037,2025-12-10,C008979,P00913,2,293.33,9.48,ST019
S00150038,2024-08-08,C005644,P00598,1,283.51,10.57,ST007
S00150039,2026-01-01,C001805,P00087,2,997.56,14.87,ST012
S00150040,2025-12-15,C007544,P00351,7,981.34,10.53,ST018
S00150041,2026-07-08,C007801,P00557,4,129.84,9.63,ST010
S00150042,2024-12-10,C002045,P00137,8,78.52,16.98,ST004
S00150043,2024-07-27,C007269,P00469,2,709.35,0.62,ST011
S00150044,2024-10-20,C003086,P00688,5,298.35,17.94,ST002
S00150045,2026-04-28,C009744,P00474,8,214.77,17.39,ST008
S00150046,2026-03-04,C000206,P00409,5,636.61,2.18,ST008
S00150047,2025-04-06,C005931,P00654,2,482.95,8.74,ST014
S00150048,2025-07-02,C003273,P00328,2,931.51,8.13,ST002
S00150049,2024-12-21,C002182,P00145,8,428.91,14.45,ST010
S00150050,2026-05-10,C001328,P00749,5,460.28,16.87,ST003
S00150051,2025-05-01,C005901,P00475,2,425.94,3.98,ST013
S00150052,2026-01-12,C002958,P00163,10,236.65,17.42,ST002
S00150053,2026-04-15,C004831,P00555,8,851.79,11.5,ST002
S00150054,2025-03-30,C006006,P00194,3,924.03,12.04,ST003
S00150055,2025-11-02,C009848,P00095,5,72.89,15.51,ST006
S00150056,2024-11-01,C008806,P00075,1,658.88,19.05,ST013
S00150057,2025-10-15,C004298,P00229,4,165.86,18.6,ST004
S00150058,2026-03-08,C005468,P00125,8,10.57,13.37,ST006
S00150059,2025-11-30,C007672,P00476,9,905.79,16.79,ST020
S00150060,2024-08-28,C009073,P00665,4,766.8,5.22,ST018
S00150061,2026-01-28,C002525,P00955,9,372.12,14.31,ST013
S00150062,2025-07-22,C009655,P00945,6,345.33,18.22,ST012
S00150063,2025-12-21,C002355,P00864,5,904.39,4.11,ST009
S00150064,2026-05-13,C006412,P00607,6,495.91,18.06,ST011
S00150065,2026-05-20,C008175,P00763,4,762.39,0.96,ST016
S00150066,2026-02-12,C003705,P00366,6,580.82,17.57,ST019
S00150067,2025-07-02,C005063,P00574,2,965.82,19.22,ST017
S00150068,2025-12-01,C002116,P00878,7,913.7,14.74,ST011
S00150069,2025-01-12,C002593,P00019,2,811.34,6.56,ST020
S00150070,2025-01-18,C007248,P00133,4,879.23,8.47,ST002
S00150071,2026-02-01,C007513,P00593,4,220.0,8.87,ST009
S00150072,2025-05-09,C006156,P00144,6,873.71,17.88,ST019
S00150073,2025-11-27,C005907,P00274,9,939.54,0.09,ST018
S00150074,2025-03-30,C002611,P00741,1,673.43,10.58,ST014
S00150075,2024-11-30,C009347,P00103,5,684.89,10.11,ST004
S00150076,2025-07-28,C005617,P00977,1,148.38,2.92,ST007
