SaleID,SaleDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,StoreID
S00050001,2026-07-02,C003306,P00374,5,673.92,4.73,ST001
S00050002,2025-11-24,C009940,P00795,7,283.48,18.78,ST011
S00050003,2024-12-08,C006939,P00172,9,575.33,12.24,ST018
S00050004,2025-11-29,C008149,P00144,3,873.71,5.44,ST014
S00050005,2024-12-31,C005416,P00849,4,721.53,0.47,ST012
S00050006,2026-05-08,C003955,P00219,9,163.25,7.58,ST014
S00050007,2025-02-15,C000587,P00431,9,115.52,17.83,ST007
S00050008,2026-07-12,C005629,P00375,8,370.58,10.58,ST003
S00050009,2024-12-14,C000636,P00758,1,419.12,18.13,ST009
S00050010,2026-02-13,C001531,P00417,4,252.39,18.69,ST011
S00050011,2025-01-08,C006081,P00837,3,658.23,18.48,ST012
S00050012,2025-07-01,C005851,P00406,8,177.99,8.2,ST004
S00050013,2026-06-01,C007399,P00645,9,869.78,15.25,ST006
S00050014,2026-05-27,C005091,P00548,9,402.69,9.7,ST009
S00050015,2025-05-29,C007250,P00182,10,676.63,13.93,ST013
S00050016,2025-07-08,C008492,P00270,10,17.74,14.15,ST015
S00050017,2026-06-01,C005827,P00242,3,587.84,17.12,ST014
S00050018,2026-06-09,C002414,P00849,4,721.53,17.52,ST004
S00050019,2025-05-05,C005137,P00163,10,236.65,11.6,ST019
S00050020,2025-08-28,C009541,P00960,7,676.1,18.63,ST008
S00050021,2024-12-22,C005260,P00596,4,881.52,6.6,ST014
S00050022,2024-12-09,C004258,P00405,3,798.06,9.48,ST009
S00050023,2024-10-19,C001780,P00975,3,309.17,16.02,ST019
S00050024,2026-02-03,C008815,P00164,5,906.37,7.6,ST015
S00050025,2025-07-30,C003377,P00102,3,723.51,11.57,ST009
S00050026,2024-11-17,C001931,P00387,2,136.01,2.2,ST012
S00050027,2025-11-12,C002559,P00428,2,15.49,3.56,ST003
S00050028,2025-09-09,C009302,P00971,4,229.15,8.19,ST001
S00050029,2025-08-01,C007718,P00727,4,675.56,15.61,ST020
S00050030,2025-09-01,C000794,P00361,7,731.26,13.18,ST009
S00050031,2024-08-20,C004492,P00919,8,680.99,12.9,ST008
S00050032,2025-07-16,C004298,P00186,5,345.91,7.67,ST011
S00050033,2025-04-14,C005195,P00702,9,909.33,5.33,ST015
S00050034,2026-04-21,C003864,P00488,8,750.04,6.89,ST014
S00050035,2026-06-09,C007594,P00330,10,865.42,19.65,ST008
S00050036,2025-06-10,C007774,P00812,1,328.56,18.73,ST008
S00050037,2025-04-03,C001084,P00856,6,997.45,19.33,ST011
S00050038,2025-03-30,C004744,P00493,1,441.48,1.96,ST012
S00050039,2026-01-25,C004480,P00283,1,637.9,1.88,ST012
S00050040,2025-08-31,C009664,P00277,5,115.97,0.04,ST017
S00050041,2025-05-10,C006518,P00175,1,809.42,10.38,ST002
S00050042,2025-03-01,C008415,P00058,5,731.84,8.14,ST004
S00050043,2024-09-28,C008234,P00237,6,891.38,4.27,ST013
S00050044,2025-12-16,C008014,P00184,1,107.43,2.9,ST014
S00050045,2024-12-04,C001039,P00215,10,957.74,19.06,ST006
S00050046,2024-11-03,C005042,P00712,8,702.74,15.66,ST005
S00050047,2025-09-14,C005646,P00057,4,179.43,5.76,ST011
S00050048,2025-02-04,C001928,P00172,1,575.33,2.0,ST006
S00050049,2025-08-23,C001596,P00577,4,542.79,13.36,ST010
S00050050,2024-10-27,C007722,P00342,8,235.32,6.24,ST015
S00050051,2025-11-14,C005701,P00494,1,38.73,17.22,ST002
S00050052,2025-11-26,C005057,P00801,9,290.01,10.73,ST008
S00050053,2026-06-22,C009273,P00689,5,239.16,15.77,ST009
S00050054,2024-09-30,C005890,P00260,1,933.93,6.93,ST020
S00050055,2025-04-04,C008791,P00092,5,631.17,8.95,ST015
S00050056,2024-12-07,C004000,P00466,4,146.99,6.5,ST020
S00050057,2025-08-11,C009450,P00983,3,144.31,3.45,ST012
